configuration,status,condition,target_modality_group,nominal_supported_window_fraction,position,random_replicates,eligible_count,total_count,coverage,CLEAN_ONCE_fallback_count,seed,macro_F1,MAE
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:front,T,0.7,front,1,728,728,1.0,0,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:front,T,0.7,front,1,728,728,1.0,0,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:front,T,0.7,front,1,728,728,1.0,0,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:middle,T,0.7,middle,1,728,728,1.0,0,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:middle,T,0.7,middle,1,728,728,1.0,0,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:middle,T,0.7,middle,1,728,728,1.0,0,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:back,T,0.7,back,1,728,728,1.0,0,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:back,T,0.7,back,1,728,728,1.0,0,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:back,T,0.7,back,1,728,728,1.0,0,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:random,T,0.7,random,3,728,728,1.0,0,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:random,T,0.7,random,3,728,728,1.0,0,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:random,T,0.7,random,3,728,728,1.0,0,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:front,A,0.1,front,1,724,728,0.9945054945054945,4,17,0.3065923448532144,0.7875099910452263
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:front,A,0.1,front,1,724,728,0.9945054945054945,4,29,0.32500178492752674,0.8592661759172627
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:front,A,0.1,front,1,724,728,0.9945054945054945,4,43,0.2865337797593232,0.8109500609414402
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:middle,A,0.1,middle,1,724,728,0.9945054945054945,4,17,0.2976144671027318,0.7874596532019096
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:middle,A,0.1,middle,1,724,728,0.9945054945054945,4,29,0.306915132177501,0.8581594278240208
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:middle,A,0.1,middle,1,724,728,0.9945054945054945,4,43,0.28641749782985354,0.8100539969445391
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:back,A,0.1,back,1,724,728,0.9945054945054945,4,17,0.3035171441331587,0.7881439881860458
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:back,A,0.1,back,1,724,728,0.9945054945054945,4,29,0.3188211805446568,0.8595784335265417
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:back,A,0.1,back,1,724,728,0.9945054945054945,4,43,0.2907270233196159,0.8114580041178819
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:random,A,0.1,random,3,724,728,0.9945054945054945,4,17,0.29986307089134634,0.7882704102073245
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:random,A,0.1,random,3,724,728,0.9945054945054945,4,29,0.3186781266079324,0.8591772380741564
